time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
1.94,0.6952092797672375,1.3019342160893639,0.0840753308121937,-0.3309869479656768,-0.6603426873076864,-0.050379658199361126
1.95,0.6815358251870943,1.2800853787358248,0.08151914388749379,-0.32417158971380583,-0.6475418335203281,-0.04956446676048619
1.96,0.6679599623168352,1.2586073251342293,0.07911328274834986,-0.3174919900906375,-0.6349557602689858,-0.04877333393300269
1.97,0.6545015173960148,1.2374714211219917,0.07686012740753412,-0.31094697491667733,-0.6225810460577659,-0.04800473265892735
1.98,0.641178010528498,1.216647353428144,0.07476101661881701,-0.30453519481139235,-0.6104145725234844,-0.04725712249273918
1.99,0.6280018202146491,1.196105953968927,0.07281682424006417,-0.2982551766092459,-0.5984535129837951,-0.04652895425033854
2.0,0.6149800995159198,1.1758203310194184,0.07102698099667851,-0.29210537561408667,-0.586695309673601,-0.04581868444037175
2.0100000000000002,0.602116394040957,1.1557658084179911,0.06938978992561137,-0.2860842116736771,-0.5751376515894211,-0.04512478654111564
2.02,0.5894119405014264,1.135919898490465,0.06790228668628884,-0.2801900922686628,-0.5637784526045164,-0.04444576367425275
2.0300000000000002,0.576866744897541,1.116262254378001,0.06656028660980925,-0.2744214248196874,-0.5526158300607364,-0.04378016080815466
2.04,0.5644804210136283,1.0967746193963288,0.06535841480285412,-0.2687766206095511,-0.5416480838667732,-0.04312657666012612
2.05,0.5522528237443446,1.0774407540395115,0.06429018265799957,-0.2632540923721077,-0.530873676326378,-0.04248367483354613
2.06,0.5401838230176538,1.0582456150898585,0.0633481419440336,-0.25785225414193114,-0.5202912201754795,-0.04185019341410579
2.07,0.5282715338537646,1.0391732130285745,0.06252399042292757,-0.2525695388033935,-0.5098994880451937,-0.04122495350987652
2.08,0.5165147231024223,1.0202091665774768,0.06180856940199125,-0.24740439157236926,-0.4996973963794189,-0.0406068678158566
2.09,0.5049133808244222,1.0013411430664967,0.06119216362673996,-0.24235525776412503,-0.4896839849487539,-0.0399949461795892
2.1,0.4934697524440396,0.9825598769343193,0.060664544888170156,-0.23742056023968464,-0.47985838617941073,-0.0393883007307075
2.11,0.4821886956243506,0.9638594393222459,0.060215229878619284,-0.23259867328344114,-0.4702197917861883,-0.03878614843192131
2.12,0.47107752595074653,0.9452370956334308,0.05983361675490613,-0.22788789802393367,-0.46076742082985395,-0.03818781226437225
2.13,0.4601457721998033,0.9266930921679055,0.05950915599883943,-0.22328644030193565,-0.4515004899081749,-0.03759272070438385
2.14,0.44940540521199857,0.9082298143987007,0.05923130686435697,-0.21879238624981567,-0.44241819176418784,-0.037000407635740286
2.15,0.43887203887788717,0.8898495348373836,0.05898976294380333,-0.2144036658610368,-0.433519696415814,-0.03641051000630225
2.16,0.42856265825957723,0.8715562003195358,0.058774939725989114,-0.21011803927844103,-0.42480413441261866,-0.03582276060904236
2.17,0.4184946377979775,0.8533557548689077,0.05857752618100043,-0.20593309290046125,-0.4162705768639296,-0.03523698534723236
2.18,0.4086855807400525,0.8352555490938249,0.058388815641973,-0.2018462370930607,-0.4079180213729913,-0.03465309719081263
2.19,0.39918929728091346,0.8172361977016802,0.05842427744686005,-0.19785434412025157,-0.3997456593959745,-0.03406885441634403
2.2,0.3899652722845178,0.799352346005077,0.0583940157161204,-0.1939546913974064,-0.39175213593592373,-0.033484914259182826
2.21,0.3810437979030257,0.7816053196030485,0.058392388694046726,-0.19014425341837615,-0.38393608273989327,-0.03290099037224236
2.22,0.3724305672227066,0.7640157091873971,0.05836965262449011,-0.1864199477461491,-0.3762959256480193,-0.032317293845997457
2.23,0.3641371668313041,0.7465974938850725,0.05833152323353579,-0.18277857607783604,-0.3688299507091686,-0.031733978613662096
2.24,0.35616999529617666,0.7293688817280081,0.05826389097816779,-0.17921687612487427,-0.3615362618918885,-0.03115133970388042
